1591, 7, 6, 120, 83, 201, 16, 13, 122, 10, 27, 19, 14, 95, 2, 246, 31, 30, 16, 244, 185, 13, 27, 93, 111, 237,Fail automobile airplane
1591, 27, 1, 65, 67, 149, 29, 3, 174, 82, 158, 29, 25, 95, 58, 86, 11, 16, 36, 43, 94, 13, 16, 61, 10, 164,Fail automobile bird
1591, 15, 14, 131, 33, 172, 22, 7, 69, 169, 109, 28, 10, 19, 194, 187, 1, 8, 175, 238, 4, 12, 27, 104, 9, 53,Fail automobile cat
1591, 31, 29, 172, 178, 126, 12, 0, 23, 171, 234, 29, 14, 49, 59, 25, 2, 1, 3, 237, 199, 8, 2, 110, 188, 159,Fail automobile deer
1591, 16, 10, 27, 130, 204, 5, 24, 224, 220, 203, 6, 29, 130, 225, 222, 3, 2, 8, 50, 147, 13, 0, 158, 178, 104,Fail automobile dog
1591, 15, 16, 207, 196, 205, 14, 5, 6, 199, 206, 15, 14, 79, 25, 160, 26, 25, 38, 172, 31, 1, 21, 177, 74, 11,Fail automobile frog
1591, 21, 31, 28, 157, 246, 3, 13, 173, 79, 210, 4, 31, 218, 22, 54, 22, 8, 200, 232, 100, 19, 13, 157, 223, 174,Fail automobile horse
1591, 16, 13, 47, 26, 135, 13, 10, 25, 172, 127, 17, 15, 248, 36, 153, 1, 14, 23, 27, 28, 9, 20, 89, 168, 7,Fail automobile ship
1591, 14, 15, 151, 34, 178, 25, 19, 134, 40, 150, 10, 25, 35, 11, 129, 20, 16, 248, 17, 44, 15, 18, 123, 7, 155,Fail automobile truck
6733, 14, 9, 71, 10, 54, 17, 18, 39, 46, 1, 11, 24, 178, 4, 122, 8, 19, 186, 140, 110, 30, 11, 140, 251, 72,Success dog airplane 29
6733, 4, 21, 253, 204, 222, 14, 9, 40, 10, 2, 17, 13, 158, 14, 66, 3, 14, 110, 187, 31, 18, 21, 144, 1, 85,Fail dog automobile
6733, 18, 17, 122, 17, 76, 22, 14, 213, 141, 63, 14, 9, 63, 30, 8, 12, 16, 149, 148, 77, 4, 18, 182, 128, 205,Success dog bird 49
6733, 16, 30, 176, 42, 153, 29, 5, 145, 230, 33, 2, 13, 174, 63, 107, 11, 13, 94, 1, 111, 14, 9, 61, 19, 109,Success dog cat 5
